positif	/positip/ positive.
poskar	postcard.
posma	[pekan orientasi dan studie mahasiswa] freshman orientation week.
pospaket	parcel-post package.
pospor	see fosfor.
postel	[pos dan telekomunikasi] postal, telegraph, and telephone service.
poster	poster.
postulat	postulate.
poswesel	money order.
pot	1 pot. 2 chamber pot.
potas	potassium.
potehi	(china) hand puppets.
potensi	potential.
potensial	/potensiil/ potential.
potia	(china) overseer.
potlot	pencil.
poto	see foto.
potokopi	see fotokopi.
potol	1 broke, hard up. 2 cut off.
potong	1 piece. 2 lump. 3 slice. 4 be reduced by. 5 take a short cut.
potongan	1 deduction from wages. 2 discount. 3 way s.t. is made or built, model, cut of clothes. 4 abbreviation. 5 a cut.
potret	1 photograph, picture, snapshot. 2 camera. 3 have o.'s picture taken.
power	1 k.o. four-wheel-drive army truck used in mountainous regions. 2 power of radio or stereo set.
poya	see foya.
poyang	grandfather.
pp	1 [pulang pergi] round trip. 2. [peraturan pemerintah] governmental regulations.
ppdank	[pendidikan, pengajaran dan kebudayaan] ministry of education and culture.
pplh	[pembinaan dan pelestarian lingkungan hidup] cultivation and preservation of the environment.
ppn	(pajak pendapatan nasional] national income tax.
ppn(b)	[pusat perkebunan negara (baru) ] (new) center for gvt. estates.
ppp	[partai persatuan pembangunan] united development party, a muslim party.
pppk	[pertolongan pertama pada kecelakaan] first aid.
pr	1. [penyapu ranjau] minesweeper. 2. [pekerjaan rumah] homework. 3. [pemuda rakyat] communist youth movement, the people's youth.
pr-	see also entries with per-.
pra-	see also entries with pre-.
praada	preexistence.
praanggapan	prejudice, presupposition.
prabakti	probationary.
prabawa	see perbawa.
prabedah	preoperative.
prabu	the sovereign.
pracerita	opening portion of a story.
pracipta	s.t. created beforehand.
prada	1. (prajurit dua] (mil.) private (lowest rank). 2. see perada 1.
pradewasa	preadult.
pradini	premature in birth, ripening, or flowering.
praduga	presumption.
prafabrik	prefabricated.
pragaan	see raga 1.
pragmatis	pragmatic.
pragmatisme	pragmatism.
prah	freight, cargo.
praha	prague.
prahara	hurricane, tempest.
prahoto	truck.
prailmiah	prescientific.
praja	territory of jurisdiction.
prajurit	1 solder. 2 a private. 3 soldierlike and brave.
praka	[prajurit kepala] (mil.) highest rank of private below kopral.
prakarsa	initiative.
prakarya	vocational subjects in school (home-making, sewing, automobile repairing, etc.).
prakata	foreword.
prakemerdekaan	pre-independence.
prakira	forecast.
prakondisi	prerequisite.
praktek	/praktik/ 1 practice of a profession. 2 practices.
praktikum	practical work, lab work.
praktis	1 practical. 2 practically.
prakualifikasi	/prakwalifikasi/ (fin.) qualifications stipulated for all prospective tenders of a bid.
pralambang	prediction, prophecy.
pralon	k.o. hard pipe.
prama	[pramahasiswa] o. who is about to enter university.
pramadara	newly registered university freshman (female).
pramana	(java) careful.
pramaria	newly registered university freshman.
pramasehi	pre-christian.
prambos	see frambos.
prameswari	see permaisuri.
prami	newly registered university student (female).
pramubakti	/pramubhakti/ (euphemism) maid servant.
pramugara	attemdant on long distance transport.
pramugari	female attendant on long distance transport.
pramuka	[(gerakan) praja muda karana] boy scouts.
pramukawati	girl scout.
pramuniaga	[euphemism] sales clerk.
pramuria	[euphemism] nightclub hostess.
pramuwisata	tourist guide.
pramuwisma	[euphemism] maid servant.
pranata	instituation, regulation.
prancis	france, french.
prangko	postage stamp.
prapatan	crossroads.
prapen	(java) furnace, fireplace, or any place for a fire.
prapendaftaran	preregistration.
praperadilan	pretrial.
prapertunjukan	preview.
prarasa	partiality, preference.
prarencana	plan in rough, preliminary form.
prasaja	straightforward, without guile.
prasangka	prejudice.
prasantap	food served before main course.
prasaran	working paper, introductory or working paper for.
prasarana	1 infrastructure. 2 labor done in preparation.
prasarjana	degree awarded after three years of tertiary level study.
prasasti	1 ancient inscription, epigraphy. 2 plaque commemorating inauguration of building.
prasejarah	prehistory, prehistorical.
prasekolah	preschool.
prasetia	/prasetya/ firm intent, pledge of loyalty, religious vow.
praskripsi	(acad.) b.a.thesis.
prasman	(coll.) frenchman.
prasmanan	buffet.
prasyarat	prerequisite.
prat-prit	sound of whistle blowing repeatedly.
pratanda	1 sign, indication. 2 forerunner.
pratekan	(ling.) prestressed.
pratijangkit	antiseptic.
pratiwi	see pertiwi.
pratu	[perajurit satu] private first class.
prausul	working paper.
prawacana	foreword, preface.
prawarsa	initiative, impetus.
prawira	see perwira.
prayoga	decent, suitable.
prayojana	purpose, intention, motive.
pre	see perai 1.
preambul	preamble.
predikat	1 citation, designation. 2 (ling.) predicate.
prefek	(rel.) prefect, the supervisor in a church organization.
prefektur	prefecture (in japan, france, etc.).
preferensi	preference.
preferensiil	preferential.
prehistori	prehistory.
prehistoris	prehistoric.
prei	1. see perai 1. 2. leek.
prek	(vulg.) nonsense ! shut up ! (exclamation to silence s.o.). mem-prek-i tell s.o. to shut up.
prekik	see prikik.
prelat	prelate.
preliminer	preliminary.
prem	plum.
preman	1 private, civilian. 2 (coll.) street kids, hoodlums.
prematur	premature.
premi	1 premium. 2 bonus.
premier	(thea.) premier.
premis	premise.
prenjak	k.o. bird.
preparat	(med.) blood smear.
prepentip	see preventif.
prerogatif	prerogative.
pres	1. pres-ban k.o. procedure for tire repaire in which a faulty inner tube is sealed by pressing rubber to it with a hot iron tool. 2. 1) prize. 2) toy given away as prize in package (of crackerjacks, etc.).
presdir	[presiden direktur] president and director of a company.
preseden	precedent.
presentasi	presentation.
presiden	president.
presidensial	/presidensiil/ presidential
presidium	presidium.
presis	see persis.
presisi	precision.
preskripsi	prescription.
prestasi	achievement, performance
prestise	prestige.
pretel	1 dismantle, tear apart. 2 remove, take out. 3 find out a secret, question thoroughly. 4 wipe out, clear away.
pretensi	pretension.
pretensius	pretentious.
preventif	/preventip/ preventive.
previu	preview.
prewangan	shaman, o. who has mystical powers.
pri	see pribumi.
pria	man, male.
priai	see priyayi.
pribadi	1 individual, personal. 2 person.
pribahasa	see peribahasa.
pribumi	indigene, o. of native stock and not of immigrant blood.
pribumisasi	the process of turning enterprises over to the indigenouse people.
pries	/pris/ frisian.
prigel	(java) skillful.
prihal	see peri 1.
prihatin	concerned, apprehensive.
prikik	(sport.) free kick after minor foul.
prilaku	see peri 1.
prilem	preliminary.
prima	first-rate.
primadona	(coll.) woman who is considered excellent.
primata	(bio.) primate.
primbon	(java) divining manual.
primer	primary.
primitif	primitive.
prin	/pring/ (mil.) answer to the call werda ( " who goes there ?"): friend (not foe).
pringas-pringis	grin sheepishly.
pringgitan	(java) open structure in front of mansion, behind the pendopo, for showing shadow plays or receiving visitors.
pringisan	grin.
prinsip	principle, tenet.
prinsipiil	/prinsipil/ principal, basic.
prioritas	/prioritet/ priority.
prisma	prism.
prit	sound of blown whistle.
privat	private.
prive	private.
privilese	privilege.
priwil	a bicycle gear that allows wheels to turn without engaging pedals.
priya	see pria.
priyayi	(java) o. belonging to upper classes.
pro	pro.
probabilitas	probability.
problem	/problim/ problem.
problematik	set of problems.
procot	(vulg.) be born.
prodeo	free, without cost.
produk	product.
produksi	production.
produktif	productive.
produktivitas	/produktivitet/ productivity.
produsen	producer.
produser	/produsir/ memp-produser produce.
profesi	profession. ber-profesi professional.
profesionalisme	professionalism.
profesor	professor.
professi	see profesi.
profil	1 appearance. 2 profile.
profisiat	expression. uttered when offering congratulations.
prognosa	/prognose/ prognosis.
program	/programa/ program.
progresif	progressive.
progresivitas	/progresivitet/ progressiveness.
prohibisionis	prohibitionist.
prokem	(jakarta) 1 jargon of youth in jakarta. 2 street kids.
proklamasi	proclamation.
proklamator	o. who proclaims.
proklamir	memp-proklamir-kan proclaim.
prokurasi	(leg.) power of attorney.
proletar	proletarian.
proletariat	proletariat.
proletarisasi	proletarianization.
proliferasi	proliferation.
prolog	prologue.
promes	(fin.) promissory note.
promosi	1 promotion of a product. 2 (acad.) disertation defense.
promosional	promotional.
promotor	(acad.) dissertation supervisor. 2 o. who champions s.t.
promovendus	(acad.) a candidate for a doctorate.
prop	1. cork, stopper, plug. 2. [propadeus] preparation for entering a university course or profession.
prop.	[propinsi] province.
propadeus	/propaedeuse/ preparation for entering (a course, a profession).
propaganda	propaganda.
propagandis	propagandist.
propeler	(av.) propeller.
properti	property (in tv, film making).
propesi	see profesi.
propesor	see profesor.
propil	see profil.
propinsi	see provinsi.
propokatip	see provokatif.
proporsi	proportion.
proporsional	/proporsionil/ reasonable, in accordance with o. would expect.
prosa	prose.
prosedur	procedure.
proseduril	procedural.
prosen	see persen.
prosentase	/prosentasi/ percentage.
prosentuil	on a persentage basis.
proses	1 process. 2 legal action.
prosesi	procession.
prosis	1 prose writer. 2 prosaic.
prosodi	prosody.
prospek	prospect, future chances.
prospektus	promotional leaflet.
prostat	/prostata/ (anat.) prostate.
prostitusi	prostitution.
proteina	protein.
proteksi	economic protection.
proteksionis	protectionist.
protektorat	protectorate.
protes	protest.
protestan	protestant.
protokol	1. protocol. 2. master of ceremonies at formal functions.
protokoler	having to do with protocol.
protol	(java) apart, in pieces.
proton	(phys.) proton.
provinsi	province.
provinsial	provincial.
provinsialisme	provincialism.
provinsialistis	provincial.
provisi	(fin.) commission.
provokasi	provocation.
provokatif	/provokatip/ provocative.
provokator	provocateur.
provost	military police in air force or navy.
proyek	project.
proyeksi	projection, forecast.
proyektil	missile.
proyektir	project s.t. or an image.
proyektor	projector.
prri/permesta	[pemerintah revolusioner republik indonesia/perjuangan semesta] total struggle and the republic of indonesia's revolutionary gvt., a rebellion in sumatra and n. sulawesi against the central gvt. in the late 1950s.
pruf	/prup/ printer's proof.
prusi	verdigris.
ps.	1. [pasal] article (in legal documents, etc.] 2. [pasar] market. 3. [pejabat sementara] temporary official.
psi	[partai sosialis indonesia] indonesian socialist party.
psi.	[psikologi] psychology.
psii	[partai serikat islam indonesia] islam party of indonesia.
psikiater	psychiatrist.
psikiatri	psychiatry.
psikiatrik	/psikiatris/ psychiatric.
psikis	psychological, mental.
psikoanalis	psychoanalyst.
psikoanalisa	psychoanalysis.
psikolinguistik	psycholinguistics.
psikolog	psychologist.
psikologi	psychology.
psikopat	psychopath.
psk.	[pasukan] (mil.) troops.
pspb	[pendidikan sejarah perjuangan bangsa] the history of the national struggle, a subject in school.
pt	1. [perseroan terbatas] inc., ltd. 2. [panglima tertinggi] officer the rank of governor of a region. 3. [perguruan tinggi] institute of higher education.
pt.	[pendeta] rev., title for a minister.
ptik	[program tinggi ilmu kepolisian] police academy.
ptip	[(departemen) perguruan tinggi dan ilmu pengetahuan] department of higher education and sciences.
ptm	[persekutuan tanah melayu] federation of malaya.
ptp	[pos, telekomunikasi (dan) pariwisata] post office, telecommunications, and tourism.
ptt	[pos, telegrap dan telpon] postal, telegraph, and telephone service.
pu	1. [pejabat ulama] high official. 2. [pembantu utama] secretary-general of a ministry. 3.[pekerjaan umum] public works.
puade	see kuade.
puah	bah ! phooey !
puak	group, tribe.
puaka	gnome, spirit (inhabiting a certain place).
pual	1. voile. 2. vortex.
pualam	1 marble. 2 alabaster.
puan	1. plate for betel. 2. (lit.) title or deferential term of address for a woman. 3. see kelapa.
puar	cardamom.
puas	satisfied, contented.
puasa	1 fast. 2 (islam) fasting month.
puatang	(china) have no chance.
puber	/pubertas/ puberty.
publik	public.
publikasi	publication.
publisir	publicize.
publisistik	mass communications (as a field of study).
publisitas	publicity.
pucat	pale due to illness or fright.
pucuk	1 tip of a leaf, shoot, sprout. 2 tip of s.t. 3 a classifier.
pucung	1. heron. 2. tree that produces keluak.
pudak	k.o. pandanus.
pudar	1 pale, faded. 2 weak, dim.
pudat	full to the brim.
pudek	[pembantu dekan] assistant dean.
pudel	poodle.
puder	(face) powder.
pudi	powder, dust of precious stones.
puding	1. croton plant. 2. see podeng.
pudur	extinguished.
pugar	mem-pugar restore.
puguh	(jakarta) for sure, certain.
puhun	see pohon 2.
puing	1. ruins, debris. 2. see puyeng.
puisi	poetry.
puitik	/puitis/ poetic.
puja	worship, adoration.
pujaan	1 adoration, worship. 2 idol.
pujangga	1 man of letters. 2 poet.
puji	praise. mem-(p)uji praise, commend.puja-puja-an prayers of adoration.
pujuk	see bujuk.
pujur	profligate, dissolute.
pujut	strangulation.
puk-oping	/puk ping/ menthol inhaler for colds.
pukal	lump, block.
pukang	1 crotch. 2 thigh of animal. mem-pukang tear apart.
pukas	see pukes.
pukat	seine, dragnet. pukat-harimau large trawling.
pukau	drug to make o. sleep.
pukauan	charm.
pukes	vulva.
puki	(vulg.) vagina.
pukis	k.o. butter cake.
pukta	excellent.
pukul	1 strike. 2 blow, o. fell swoop. 3 o'clock.
pul	1. (car)pool. 2. pole.
