katolik	catholic.
katrol	pulley. peng-katrol-an lifting, hoisting.
katu	k.o. bush yielding edible leaves and berries.
katul	see bekatul.
katulistiwa	see khatulistiwa.
katun	cotton, cloth.
katung	(m) sea turtlle.
katup	1 valve. 2 shut tight.
kau	1. (china) nine. 2. see engkau.
kaul	1 a vow. 2 to vow.
kaula	/kawula/ servant, subject.
kaum	1. 1) social, political, or economic community. 2) family, clan. 3) ethnic group. 2. religious official who is in charge of the mosque.
kaus	see kaos.
kausa	causa, movement.
kaut	scoop up with the hand.
kav.	[kaveling] lot, parcel of land.
kavaleri	cavalry.
kaveling	lot, parcel of land.
kawa-kawa	spider.
kawah	1 cauldron, kettle. 2 crater.
kawak	old.
kawakan	experienced, veteran.
kawal	1 guard, sentry, watchman. 2 watch.
kawalat	see kualat.
kawan	1 friend, comrade. 2 companion. 3 comrade (of communists). se-kawan 1 a herd, flock, school (of fish). 2 a gang (of bandits), group of people.
kawang	see tengkawang.
kawanisme	cronyism.
kawanua	fellow countryman (of menadonese).
kawas	ber-kawas border on.
kawasan	region, area, sphere.
kawat	1 wire, filement. 2 cable, telegram.
kawatir	see kuatir.
kawedanan	1 subdistrict within a kabupaten. 2 residence of the subdistrict officer.
kawi	see bahasa 1, batu.
kawin	1 be married. 2 capulate.
kawiryan	(java) military, having to do with military officers.
kawista	k.o. cultivated tree and its fruit, the wood apple (bengal quince).
kawruh	(java) knowledge.
kawul	tinder.
kawung	(java) 1 sugar palm leaf used as wrapper for cigarettes. 2 k.o. motif in batik.
kaya	1. 1) wealthy, rich, well-to-do, well-off. 2) rich, having in abundance. 3) (lit.) able, having power. 2. kaya, kayak (coll.) like, as.
kayal	see khayal.
kayangan	1 abode of the hindu gods. 2 heaven (as a wonderful place).
kayap	itchy abscess or carbuncle.
kayau	1. meng-kayau headhunt. peng-kayau headhunter. 2. meng-kayau flood, inundate.
kayu	1. 1) wood, timber. 2) tree.
kayuh	1. bolt (of cloth - us. 40 yards in length). 2. 1) paddle. 2) bicycle pedal.
kayun	1 popular, sell well. 2 sold out.
kazanah	see khazanah.
kb	[keluarga berencana] family planning.
