payroll	kb. daftar gaji/upah.
pct.	1 [per cent] persen. 2 [precinct] seksi.
pd.	[paid] telah dibayar, lunas.
pea	kb. kacang polong/arab. green peas kacang ijo/buncis, ercis.
peace	kb. 1 perdamaian. world p. perdamaian dunia. peace-loving ks. yang cinta akan perdamaian.
peaceable	ks. suka damai. -peaceably kk. dengan tenang/damai.
peaceful	ks. 1 tenang. it's so p. here sangat tenang disini. 2 tenteram, damai. by p. means dengan cara-cara damai.
peacemaker	kb. pendamai.
peacetime	kb. masa damai. p. army tentara dalam masa damai.
peach	kb. 1 (buah) persik. 2 sl.: yang ulung, hebat, sangat baik.
peachy	ks. sl.: hebat, bagus benar.
peacock	kb. merak.
peak	kb. 1 puncak (of a mountain, career). 2 ujung (of flagpole). 3 bubungan, nok (of roof). -ks. tertinggi, maksimum. -kki. mencapai puncak. p. hours puncak kesibukan.
peal	kb. 1 gemuruh (of thunder). 2 gelak tertawa. 3 bunyi. -kkt. mengumandangkan, -kki. berdentang-dentang (of bells).
peanut	kb. kacang tanah. p. brittle rempeyek, kacang gula. p. butter pindakas, sele kacang. sl.: p. gallery balkon. roasted peanuts kacang goreng.
pear	kb. buah per. pear-shaped ks. berbentuk buah per, bulat.
pearl	kb. mutiara. p. barley beras belanda. p. diver penyelam mutiara. p. diving penyelaman mutiara. p. oyster kerang mutiara.
pearly	ks. seperti mutiara (of teeth).
peasant	kb. tani, petani.
peasantry	kb. kaum tani.
peat	kb. tanah gemuk yang dipakai sebagai bahan pembakar. p. moss lumut bahan pembakar.
pebble	kb. batu kerikil/koral.
pecan	kb. semacam kemiri.
peccadillo	kb. dosa kecil.
peck	1 takar (=71/2 liters). 2 inf.: cium cepat. 3 banyak. -kkt. mematuk (a hole). 2 mematuk-matuk (of a bird).
pectoral	ks. yang berkaitan dengan dada. p. fin sirip dada. p. muscle otot-otot dada.
peculiar	ks. 1 ganjil. 2 aneh. 3 khas. -peculiarly kk. secara khusus/istimewa.
peculiarity	kb. (j. -ties) 1 sifat yang aneh. 2 keganjilan, keanehan. 3 kepelikan.
pecuniary	ks. yang berkaitan dengan uang. p. p.needs kebutuhan-kebutuhan keuangan.
pedagogical	ks. yang berkaitan dengan pedagogi/pendidikan. a p. device sebuah alat mendidik.
pedagogue	kb. ahli mendidik.
pedagogy	kb. pedagogi, ilmu mendidik.
pedal	kb. pedal. gas p. pedal/tancapan bensin. 2 injak-injakan, dayung (of bicycle). -kkt., kki. mengayuh.
pedant	kb. 1 orang yang bersifat keilmu-ilmuan. 2 orang yang suka menonjolkan ketinggian ilmunya.
pedantic	ks. suka menonjolkan keilmuannya.
pedantry	ks. (j. -ries) sifat suka menonjolkan keilmuan.
peddle	kkt. menjajakan. -kki. berjaja, berjual-keliling. -peddling kb. penggalasan keliling.
peddler	kb. penjaja, penjual/penggalas keliling.
pederasty	kb. semburit, perjantanan.
pedestal	kb. tumpuan, lapik, alas. to place women on a p. memuja kaum wanita.
pedestrian	kb. pejalan kaki. p. cross-walk tempat menyeberang (jalan). -ks. biasa saja. his writing is p. karangannya biasa saja.
pediatrician	kb. dokter anak-anak.
pediatrics	kb. ilmu kesehatan anak-anak.
pedicab	kb. becak.
pedicure	kb. pengobatan dan pemeliharaan kaki.
pedigree	kb. silsilah, asal-usul. pedigreed horse kuda keturunan baik.
pee	kki. vulg.: kencing.
peek	kb. pengintipan(sejenak). take a p. at the baby tolong tengok bayi itu. -kki. mengintip, menengok (sejenak).
peek-a-boo	kb. main cilukba/sembunyi-sembunyian.
